"('Make_It', 'aerosmith')","[71182136, 4180850, 8132592, 2574572, 14997907, 8134304, 18029703, 15555827, 19276709, 19140936]"
"('Somebody', 'aerosmith')","[23976051, 53604049, 40654995, 16397420, 1586241, 113604454, 138156800, 59788954, 5548751, 13791933]"
"('Dream_On', 'aerosmith')","[9409638, 24355586, 40654995, 77584695, 14997907, 10882297, 21729069, 41050891, 23730255, 13791933]"
"('One_Way_Street', 'aerosmith')","[15208936, 120182079, 9044819, 19410904, 23857185, 4863103, 72280436, 104022081, 42049504, 5869276]"
"('Mama_Kin', 'aerosmith')","[23976051, 10234672, 13925500, 27829070, 37146102, 52102192, 13802804, 30651738, 5548751, 22458851]"
"('Write_Me_a_Letter', 'aerosmith')","[78195828, 11241307, 32627042, 1067830, 8292074, 58121386, 57661028, 4629371, 1095205, 19140936]"
"('Movin_Out', 'aerosmith')","[69428713, 23348951, 9044819, 16397420, 8169325, 58121386, 944051, 987219, 64730469, 60987004]"
"('Walking_the_Dog', 'aerosmith')","[81702674, 59657871, 8132592, 26322328, 21580991, 63094164, 2177173, 30124435, 23776170, 10474018]"
"('Draw_the_Line', 'aerosmith')","[40295887, 16288494, 33539269, 19410904, 6015880, 13630290, 8870316, 19197979, 37504128, 2551361]"
"('I_Wanna_Know_Why', 'aerosmith')","[33282195, 17295129, 53563629, 2574572, 21580991, 55373393, 21729069, 41578194, 42003589, 9187191]"
"('Critical_Mass', 'aerosmith')","[23976051, 10234672, 70942353, 8732625, 8292074, 8134304, 73513558, 11913675, 23776170, 7156103]"
"('Get_It_Up', 'aerosmith')","[29236320, 24355586, 18395590, 294065813, 17151352, 35614234, 4643417, 16083130, 5640581, 17109848]"
"('Bright_Light_Fright', 'aerosmith')","[9409638, 9228037, 16160545, 45418773, 50557768, 63094164, 18029703, 15555827, 5594666, 112786817]"
"('Kings_and_Queens', 'aerosmith')","[35035618, 4180850, 106110392, 24815586, 8169325, 27370255, 16796581, 12440978, 14685418, 56382262]"
"('The_Hand_That_Feeds', 'aerosmith')","[5902792, 3174215, 13925500, 35493865, 119646794, 24622262, 18029703, 15555827, 19230794, 111499990]"
"('Sight_for_Sore_Eyes', 'aerosmith')","[11702090, 119175444, 27746361, 7979254, 21580991, 16378283, 11336560, 16083130, 14685418, 47715344]"
"('Milk_Cow_Blues', 'aerosmith')","[29775349, 5187485, 21953453, 16397420, 1586241, 30118248, 24722846, 37408739, 10094127, 9187191]"
"('Same_Old_Song_and_Dance', 'aerosmith')","[60122569, 45536957, 102552529, 59241621, 144071183, 47129414, 74746680, 5156674, 14731333, 13791933]"
"('Lord_Of_The_Thighs', 'aerosmith')","[4149369, 9228037, 76735261, 51576826, 3739686, 27370255, 32649111, 41050891, 32866922, 2551361]"
"('Spaced', 'aerosmith')","[20469205, 79832607, 44212858, 16397420, 63846685, 445979654, 74746680, 96210474, 251228630, 44397429]"
"('Woman_Of_The_World', 'aerosmith')","[5902792, 11241307, 6809774, 51576826, 19427546, 21874269, 2177173, 987219, 1095205, 15823021]"
"('SOS', 'aerosmith')","[29775349, 10234672, 4574729, 2574572, 37146102, 47129414, 32649111, 26482283, 5640581, 2551361]"
"('Train_Kept_A_Rollin_', 'aerosmith')","[61875992, 30409408, 31304224, 25568957, 30563018, 36137442, 41808498, 71242713, 46548965, 3838188]"
"('Seasons_Of_Wither', 'aerosmith')","[11702090, 18301764, 289157358, 1821201, 23857185, 21874269, 4643417, 51977347, 37412298, 23745678]"
